"Subdivision";"Commune";"Commune associée";"Quartier 2000";"Individus";"Individus des résidences principales";"Individus entre 15 et 64 ans";"Actifs";"Chomeurs";"Emploi";"Inactifs";"Taux de chomage";"Taux d'emploi";"Taux d'emploi des 15-64 ans";"Taux d'activite";"Taux d'activité des 15-64 ans";"Logements";"Résidences principales"
"Iles Du Vent";"Arue";"Arue";"Arahiri/Rimapp";"2458";"2258";"1757";"1192";"116";"1076";"724";"9.7315436241610737E-2";"0.56158663883089766";"0.60500853727945358";"0.62212943632567852";"0.67046101309049522";"808";"699"
"Iles Du Vent";"Arue";"Arue";"Cowan/Vaipoopoo";"2507";"2502";"1709";"1145";"148";"997";"786";"0.12925764192139738";"0.51631279129984464";"0.57577530719719139";"0.59295701708959092";"0.66237565827969569";"824";"734"
"Iles Du Vent";"Arue";"Arue";"Erima";"2333";"2324";"1649";"1078";"173";"905";"709";"0.16048237476808905";"0.506435366536094";"0.54335961188599147";"0.60324566312255179";"0.64827167980594302";"557";"534"
"Iles Du Vent";"Arue";"Arue";"Mairie/Taharaa";"2239";"2239";"1547";"977";"177";"800";"736";"0.18116683725690891";"0.46701692936368944";"0.51001939237233351";"0.57034442498540572";"0.6244343891402715";"753";"600"
"Iles Du Vent";"Faaa";"Faaa";"Heiri-Teroma";"4010";"4010";"2765";"1715";"387";"1328";"1328";"0.22565597667638485";"0.43641143608281302";"0.47739602169981915";"0.56358856391718704";"0.61699819168173597";"1025";"936"
"Iles Du Vent";"Faaa";"Faaa";"Piafau Bas";"3012";"3012";"2077";"1389";"267";"1122";"859";"0.19222462203023757";"0.49911032028469748";"0.5310544053923929";"0.61788256227758009";"0.6596051998074145";"928";"830"
"Iles Du Vent";"Faaa";"Faaa";"Aérogare-Citée De L'Air";"4117";"4025";"2872";"1761";"438";"1323";"1359";"0.24872231686541738";"0.42403846153846153";"0.45682451253481893";"0.56442307692307692";"0.60933147632311979";"912";"847"
"Iles Du Vent";"Faaa";"Faaa";"Mairie/Nuutania";"2302";"1886";"1705";"824";"218";"606";"1001";"0.2645631067961165";"0.33205479452054792";"0.34956011730205278";"0.45150684931506851";"0.47741935483870968";"512";"453"
"Iles Du Vent";"Faaa";"Faaa";"Auae";"3142";"3142";"2200";"1400";"306";"1094";"990";"0.21857142857142858";"0.45774058577405857";"0.49454545454545457";"0.58577405857740583";"0.63363636363636366";"888";"799"
"Iles Du Vent";"Faaa";"Faaa";"Pamatai";"5069";"5053";"3598";"2498";"283";"2215";"1431";"0.11329063250600481";"0.56375668108933574";"0.60589216231239573";"0.63578518707050136";"0.68426903835464148";"1849";"1578"
"Iles Du Vent";"Faaa";"Faaa";"Puurai";"2893";"2893";"1997";"1212";"334";"878";"941";"0.27557755775577558";"0.40780306549001394";"0.43415122684026042";"0.56293543892243381";"0.60140210315473208";"682";"640"
"Iles Du Vent";"Faaa";"Faaa";"Oremu";"2544";"2544";"1731";"1070";"345";"725";"830";"0.32242990654205606";"0.38157894736842107";"0.41478913922588101";"0.56315789473684208";"0.61409589832466782";"481";"457"
"Iles Du Vent";"Faaa";"Faaa";"Les Hauts De St Hilaire";"2630";"2624";"1827";"1205";"206";"999";"773";"0.17095435684647303";"0.50505561172901925";"0.54077723043240289";"0.60920121334681498";"0.65353037766830868";"797";"721"
"Iles Du Vent";"Hitiaa O Te Ra";"Hitiaa";"Hitiaa";"1902";"1902";"1307";"682";"154";"528";"746";"0.22580645161290322";"0.36974789915966388";"0.4001530221882173";"0.47759103641456585";"0.51798010711553177";"632";"493"
"Iles Du Vent";"Hitiaa O Te Ra";"Mahaena";"Mahaena";"1107";"1093";"761";"430";"146";"284";"384";"0.33953488372093021";"0.34889434889434889";"0.36662286465177396";"0.52825552825552824";"0.55847568988173457";"314";"277"
"Iles Du Vent";"Hitiaa O Te Ra";"Papenoo";"Papenoo";"3766";"3766";"2654";"1603";"372";"1231";"1237";"0.23206487835308795";"0.43345070422535209";"0.46119065561416728";"0.56443661971830983";"0.60135644310474756";"1112";"995"
"Iles Du Vent";"Hitiaa O Te Ra";"Tiarei";"Tiarei";"2778";"2778";"1931";"1133";"400";"733";"937";"0.35304501323918802";"0.3541062801932367";"0.3795960642154324";"0.54734299516908214";"0.58674262040393577";"818";"703"
"Iles Du Vent";"Mahina";"Mahina";"Pointe Vénus";"2657";"2654";"1844";"1182";"242";"940";"863";"0.20473773265651438";"0.45965770171149145";"0.50216919739696309";"0.57799511002444992";"0.63340563991323207";"902";"745"
"Iles Du Vent";"Mahina";"Mahina";"Matavai/Fareroi";"2541";"2541";"1684";"1038";"368";"670";"831";"0.35452793834296725";"0.35848047084002138";"0.39489311163895485";"0.5553772070626003";"0.61342042755344417";"561";"518"
"Iles Du Vent";"Mahina";"Mahina";"Ahonu/Super Mahina";"2984";"2984";"2052";"1365";"296";"1069";"886";"0.21684981684981686";"0.47490004442470013";"0.51510721247563351";"0.60639715681919149";"0.65935672514619881";"954";"832"
"Iles Du Vent";"Mahina";"Mahina";"Atima/Hitiraa Mahana";"2716";"2677";"1953";"1272";"123";"1149";"828";"9.6698113207547176E-2";"0.54714285714285715";"0.57962109575012799";"0.60571428571428576";"0.64260112647209422";"857";"793"
"Iles Du Vent";"Mahina";"Mahina";"Taharaa/Tuauru";"3470";"3470";"2430";"1550";"279";"1271";"1030";"0.17999999999999999";"0.49263565891472866";"0.51728395061728394";"0.60077519379844957";"0.63209876543209875";"1013";"883"
"Iles Du Vent";"Moorea-Maiao";"Afareaitu";"Afareaitu";"3455";"3455";"2356";"1454";"491";"963";"1145";"0.33768913342503437";"0.37052712581762215";"0.40577249575551783";"0.55944594074644094";"0.61417657045840413";"1251";"967"
"Iles Du Vent";"Moorea-Maiao";"Haapiti";"Faarua Nia";"2015";"2015";"1377";"792";"204";"588";"747";"0.25757575757575757";"0.38206627680311889";"0.42193173565722586";"0.51461988304093564";"0.570079883805374";"850";"599"
"Iles Du Vent";"Moorea-Maiao";"Haapiti";"Faarua Raro";"2047";"2047";"1385";"853";"152";"701";"695";"0.17819460726846426";"0.45284237726098192";"0.49314079422382673";"0.5510335917312662";"0.6028880866425993";"1104";"664"
"Iles Du Vent";"Moorea-Maiao";"Maiao";"Maiao";"335";"335";"224";"210";;"210";"31";;"0.87136929460580914";"0.9241071428571429";"0.87136929460580914";"0.9241071428571429";"80";"79"
"Iles Du Vent";"Moorea-Maiao";"Paopao";"Paopao";"2645";"2638";"1762";"1111";"172";"939";"844";"0.1548154815481548";"0.48030690537084397";"0.52043132803632242";"0.56828644501278769";"0.61804767309875142";"994";"794"
"Iles Du Vent";"Moorea-Maiao";"Paopao";"Maharepa";"1935";"1935";"1340";"821";"130";"691";"646";"0.15834348355663824";"0.47102931152010907";"0.50970149253731345";"0.55964553510565784";"0.60671641791044773";"775";"597"
"Iles Du Vent";"Moorea-Maiao";"Papetoai";"Papetoai";"2318";"2251";"1600";"884";"235";"649";"862";"0.26583710407239819";"0.37170675830469646";"0.40187499999999998";"0.50630011454753721";"0.54874999999999996";"803";"637"
"Iles Du Vent";"Moorea-Maiao";"Teavaro";"Teavaro";"2484";"2484";"1672";"913";"199";"714";"928";"0.21796276013143484";"0.38783269961977185";"0.42045454545454547";"0.4959261271048343";"0.53947368421052633";"921";"690"
"Iles Du Vent";"Paea";"Paea";"Papehue/Taputuarai";"2810";"2810";"1982";"1174";"212";"962";"1010";"0.18057921635434412";"0.44047619047619047";"0.47931382441977799";"0.53754578754578752";"0.58577194752774975";"926";"803"
"Iles Du Vent";"Paea";"Paea";"Tiapa/Vaiatu";"3002";"2998";"2061";"1282";"323";"959";"938";"0.25195007800312014";"0.43198198198198196";"0.46239689471130518";"0.57747747747747746";"0.61911693352741393";"796";"689"
"Iles Du Vent";"Paea";"Paea";"Orofero/Arahurahu";"2263";"2263";"1550";"954";"173";"781";"725";"0.18134171907756813";"0.46515783204288269";"0.50064516129032255";"0.56819535437760571";"0.61225806451612907";"668";"607"
"Iles Du Vent";"Paea";"Paea";"Fuller/Robson";"1790";"1790";"1228";"796";"166";"630";"551";"0.20854271356783918";"0.46770601336302897";"0.50895765472312704";"0.59094283593170005";"0.64413680781758953";"555";"462"
"Iles Du Vent";"Paea";"Paea";"Vaitupa/Maraa";"2648";"2646";"1828";"1104";"263";"841";"897";"0.23822463768115942";"0.42028985507246375";"0.45733041575492339";"0.55172413793103448";"0.60065645514223198";"838";"691"
"Iles Du Vent";"Papara";"Papara";"Tiamao/Afarerii";"2504";"2501";"1712";"1033";"243";"790";"837";"0.23523717328170377";"0.42245989304812837";"0.45677570093457942";"0.55240641711229943";"0.59871495327102808";"806";"648"
"Iles Du Vent";"Papara";"Papara";"Afarerii/Vaitiare";"2149";"2128";"1494";"877";"183";"694";"786";"0.20866590649942987";"0.41731809981960311";"0.46184738955823296";"0.52736019242333132";"0.58433734939759041";"674";"568"
"Iles Du Vent";"Papara";"Papara";"Teitihaa/Taharuu";"3489";"3462";"2418";"1382";"304";"1078";"1230";"0.21997105643994211";"0.41271056661562022";"0.4425144747725393";"0.5290964777947933";"0.56823821339950376";"1067";"890"
"Iles Du Vent";"Papara";"Papara";"Haumaua/Atimaono";"2939";"2928";"1996";"1182";"302";"880";"984";"0.25549915397631134";"0.40627885503231764";"0.43737474949899802";"0.54570637119113574";"0.58867735470941884";"906";"764"
"Iles Du Vent";"Papeete";"Papeete";"Manu Hoe - Fare Ute - Motu Uta";"2080";"1652";"1605";"1015";"167";"848";"709";"0.16453201970443349";"0.49187935034802782";"0.51962616822429908";"0.58874709976798145";"0.62367601246105919";"638";"454"
"Iles Du Vent";"Papeete";"Papeete";"Patutoa";"1761";"1761";"1173";"781";"92";"689";"559";"0.117797695262484";"0.51417910447761195";"0.57289002557544755";"0.58283582089552244";"0.65132139812446721";"637";"524"
"Iles Du Vent";"Papeete";"Papeete";"Taunoa";"2204";"2204";"1545";"959";"255";"704";"747";"0.26590198123044839";"0.41266119577960142";"0.45113268608414242";"0.56213364595545134";"0.61618122977346279";"572";"524"
"Iles Du Vent";"Papeete";"Papeete";"Fariipiti";"1976";"1976";"1361";"920";"173";"747";"626";"0.18804347826086956";"0.48318240620957309";"0.54151359294636292";"0.59508408796895218";"0.668626010286554";"734";"592"
"Iles Du Vent";"Papeete";"Papeete";"Titioro";"3514";"3514";"2469";"1550";"473";"1077";"1096";"0.30516129032258066";"0.40702947845804988";"0.43418388011340625";"0.58578987150415718";"0.62575941676792224";"881";"776"
"Iles Du Vent";"Papeete";"Papeete";"Tepapa";"3409";"3377";"2315";"1353";"308";"1045";"1189";"0.22764227642276422";"0.41109362706530289";"0.44665226781857453";"0.532258064516129";"0.57926565874730018";"815";"757"
"Iles Du Vent";"Papeete";"Papeete";"Faiere";"1744";"1713";"1186";"778";"116";"662";"582";"0.14910025706940874";"0.48676470588235293";"0.54468802698145025";"0.57205882352941173";"0.64249578414839803";"694";"545"
"Iles Du Vent";"Papeete";"Papeete";"Pic Rouge";"1936";"1934";"1363";"906";"118";"788";"581";"0.13024282560706402";"0.52992602555480839";"0.57006603081438001";"0.60928043039677204";"0.65590608950843732";"667";"616"
"Iles Du Vent";"Papeete";"Papeete";"Tipaerui";"3379";"3379";"2425";"1587";"218";"1369";"1055";"0.13736609955891618";"0.51816805450416348";"0.55835051546391756";"0.60068130204390613";"0.64824742268041236";"1203";"1026"
"Iles Du Vent";"Papeete";"Papeete";"Paofai";"1476";"1445";"1071";"678";"91";"587";"513";"0.13421828908554573";"0.49286314021830396";"0.54061624649859941";"0.56926952141057929";"0.62558356676003735";"670";"522"
"Iles Du Vent";"Papeete";"Papeete";"Mamao";"2284";"2284";"1598";"1034";"237";"797";"735";"0.22920696324951645";"0.45053702656868289";"0.49561952440550688";"0.58451102317693615";"0.64392991239048814";"881";"679"
"Iles Du Vent";"Pirae";"Pirae";"Fautaua";"2557";"2319";"1845";"1177";"220";"957";"858";"0.18691588785046728";"0.4702702702702703";"0.51219512195121952";"0.57837837837837835";"0.63143631436314362";"729";"646"
"Iles Du Vent";"Pirae";"Pirae";"Gadiot";"1860";"1860";"1284";"859";"143";"716";"612";"0.16647264260768335";"0.48674371176070702";"0.54595015576323991";"0.58395649218218904";"0.65732087227414326";"675";"577"
"Iles Du Vent";"Pirae";"Pirae";"Hippodrome";"3049";"3049";"2085";"1306";"270";"1036";"1042";"0.20673813169984687";"0.44122657580919933";"0.48920863309352519";"0.55621805792163548";"0.61870503597122306";"810";"750"
"Iles Du Vent";"Pirae";"Pirae";"Hamuta";"2135";"2127";"1506";"960";"230";"730";"703";"0.23958333333333334";"0.43896572459410704";"0.47875166002656044";"0.57726999398677092";"0.63147410358565736";"541";"499"
"Iles Du Vent";"Pirae";"Pirae";"Fare Rau Ape";"2559";"2559";"1708";"1236";"81";"1155";"781";"0.06553398058252427";"0.57263262270699056";"0.65456674473067911";"0.6127912741695587";"0.70199063231850112";"1054";"855"
"Iles Du Vent";"Pirae";"Pirae";"Pater";"1934";"1934";"1312";"797";"205";"592";"645";"0.25721455457967379";"0.41054091539528431";"0.44817073170731708";"0.55270457697642161";"0.60442073170731703";"487";"430"
"Iles Du Vent";"Punaauia";"Punaauia";"Outumaoro-Continent-Bel Air-Université";"3637";"3148";"2683";"1585";"267";"1318";"1280";"0.16845425867507888";"0.46003490401396163";"0.48639582556839361";"0.55322862129144856";"0.58553857622064853";"1086";"960"
"Iles Du Vent";"Punaauia";"Punaauia";"Nina Peata-Auffray";"2544";"2510";"1784";"1114";"239";"875";"797";"0.21454219030520646";"0.45787545787545786";"0.48542600896860988";"0.58294086865515438";"0.61939461883408076";"697";"626"
"Iles Du Vent";"Punaauia";"Punaauia";"Mairie-Taina-Lotus";"3297";"3297";"2257";"1692";"95";"1597";"850";"0.05614657210401891";"0.62824547600314717";"0.69428444838280901";"0.66561762391817469";"0.73637571998227735";"1364";"1164"
"Iles Du Vent";"Punaauia";"Punaauia";"Vaipoopoo-Taapuna-Tetavake";"2244";"2240";"1644";"1073";"214";"859";"701";"0.19944082013047532";"0.48421645997745211";"0.51824817518248179";"0.60484780157835405";"0.64841849148418496";"610";"572"
"Iles Du Vent";"Punaauia";"Punaauia";"Taapuna Sociale-Matatia-Punavai Montagne";"3752";"3752";"2619";"1909";"268";"1641";"889";"0.14038763750654792";"0.5864903502501787";"0.62161130202367321";"0.68227305218012868";"0.72394043528064145";"1542";"1191"
"Iles Du Vent";"Punaauia";"Punaauia";"Vaipoopoo Mer-Eglise St Etienne";"2622";"2620";"1847";"1262";"149";"1113";"775";"0.11806656101426308";"0.54639175257731953";"0.59664320519761771";"0.61953853706431028";"0.67731456415809421";"931";"806"
"Iles Du Vent";"Punaauia";"Punaauia";"Manotahi-Taipari-Atitue-Vaitaahuri";"2293";"2293";"1609";"1060";"232";"828";"722";"0.21886792452830189";"0.46464646464646464";"0.50590428837787449";"0.59483726150392813";"0.65009322560596638";"717";"645"
"Iles Du Vent";"Punaauia";"Punaauia";"Punavai Plaine-Vaipuarii-Punaruu";"1984";"1984";"1391";"913";"127";"786";"653";"0.13910186199342825";"0.50191570881226055";"0.55859094176851187";"0.58301404853128991";"0.64989216391085547";"637";"566"
"Iles Du Vent";"Punaauia";"Punaauia";"Punaruu Industrielle-Vaiohu-Pointe Des Pêcheurs";"2634";"2634";"1861";"1255";"160";"1095";"795";"0.12749003984063745";"0.53414634146341466";"0.58301988178398712";"0.6121951219512195";"0.66845781837721652";"940";"845"
"Iles Du Vent";"Punaauia";"Punaauia";"Maruapo/Maruata-Atehi";"2615";"2615";"1850";"1275";"206";"1069";"794";"0.16156862745098038";"0.51667472208796517";"0.56594594594594594";"0.61623972933784432";"0.67729729729729726";"982";"853"
"Iles Du Vent";"Taiarapu-Est";"Afaahiti";"Afaahiti nord";"3023";"2944";"2023";"1174";"235";"939";"1090";"0.20017035775127767";"0.41475265017667845";"0.4607019278299555";"0.51855123674911663";"0.57686604053386059";"1107";"896"
"Iles Du Vent";"Taiarapu-Est";"Afaahiti";"Afaahiti sud";"2746";"2746";"1902";"1088";"234";"854";"963";"0.21507352941176472";"0.41638225255972694";"0.44532071503680337";"0.53047294002925405";"0.56834910620399581";"1097";"764"
"Iles Du Vent";"Taiarapu-Est";"Faaone";"Faaone";"1998";"1998";"1420";"785";"223";"562";"756";"0.2840764331210191";"0.36469824789097988";"0.39295774647887322";"0.509409474367294";"0.55000000000000004";"761";"586"
"Iles Du Vent";"Taiarapu-Est";"Pueu";"Pueu";"2024";"2024";"1378";"758";"278";"480";"739";"0.36675461741424803";"0.32064128256513025";"0.34687953555878082";"0.50634602538410156";"0.54862119013062405";"604";"459"
"Iles Du Vent";"Taiarapu-Est";"Tautira";"Tautira";"2411";"2411";"1663";"917";"297";"620";"906";"0.32388222464558342";"0.34009873834338999";"0.3662056524353578";"0.50301700493691714";"0.54479855682501499";"821";"567"
"Iles Du Vent";"Taiarapu-Ouest";"Teahupoo";"Teahupoo";"1293";"1293";"889";"483";"151";"332";"515";"0.31262939958592134";"0.33266533066132264";"0.36445444319460069";"0.48396793587174347";"0.53430821147356578";"564";"371"
"Iles Du Vent";"Taiarapu-Ouest";"Toahotu";"Toahotu";"3553";"3538";"2429";"1191";"227";"964";"1455";"0.19059613769941225";"0.36432350718065004";"0.39193083573487031";"0.45011337868480727";"0.48538493207081101";"1222";"991"
"Iles Du Vent";"Taiarapu-Ouest";"Vairao";"Vairao";"2791";"2790";"1913";"1019";"329";"690";"1068";"0.32286555446516191";"0.33061811212266412";"0.35650810245687403";"0.48826066123622425";"0.52848928384736016";"895";"733"
"Iles Du Vent";"Teva I Uta";"Mataiea";"Raro";"2481";"2464";"1708";"899";"221";"678";"964";"0.24582869855394884";"0.3639291465378422";"0.39519906323185011";"0.48255501878690282";"0.52459016393442626";"894";"674"
"Iles Du Vent";"Teva I Uta";"Mataiea";"Nia";"2245";"2245";"1562";"874";"306";"568";"823";"0.35011441647597252";"0.33470830878020036";"0.36235595390524966";"0.51502651738361815";"0.55825864276568504";"731";"566"
"Iles Du Vent";"Teva I Uta";"Papeari";"Vaiarii Nia";"2264";"2264";"1535";"887";"215";"672";"782";"0.24239007891770012";"0.40263630916716597";"0.43257328990228011";"0.53145596165368481";"0.57198697068403914";"671";"558"
"Iles Du Vent";"Teva I Uta";"Papeari";"Vaiarii Raro";"2401";"2401";"1610";"939";"228";"711";"783";"0.24281150159744408";"0.41289198606271776";"0.43602484472049691";"0.54529616724738672";"0.57763975155279501";"803";"640"
"Iles Sous-Le-Vent";"Bora Bora";"Anau";"Anau";"1784";"1784";"1275";"886";"124";"762";"448";"0.1399548532731377";"0.5712143928035982";"0.59372549019607845";"0.664167916041979";"0.68941176470588239";"697";"551"
"Iles Sous-Le-Vent";"Bora Bora";"Faanui";"Faanui";"2624";"2624";"1778";"1221";"252";"969";"673";"0.20638820638820637";"0.51161562829989438";"0.54049493813273342";"0.64466737064413937";"0.68222722159730032";"945";"737"
